name,link,class
PBA Boxscores (October 1986),http://pbarecordsoddities.blogspot.com/2016/07/pba-boxscores-october-1986_10.html,boxscore
PBA Boxscores (September 1986),http://pbarecordsoddities.blogspot.com/2016/06/pba-boxscores-september-23-28-1986.html,boxscore
PBA Boxscores (May-June 1986),http://pbarecordsoddities.blogspot.com/2016/06/pba-boxscores-may-june-1986.html,boxscore
PBA Boxscores (November 1985),http://pbarecordsoddities.blogspot.com/2016/05/pba-boxscores-november-1985.html,boxscore
PBA Boxscores (October 1985),http://pbarecordsoddities.blogspot.com/2016/05/pba-boxscores-october-1985.html,boxscore
PBA Boxscores (September 1985),http://pbarecordsoddities.blogspot.com/2016/05/pba-boxscores-september-1985.html,boxscore
PBA Boxscores (August 1985),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-august-1985.html,boxscore
PBA Boxscores (July 1985),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-july-1985.html,boxscore
PBA Boxscores (April-May 1985),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-may-1985.html,boxscore
PBA Boxscores (1984 Second All-Filipino),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-1984-second-all-filipino.html,boxscore
PBA Boxscores (May-June 1984),http://pbarecordsoddities.blogspot.com/2016/04/pba-boxscores-may-june-1984.html,boxscore
PBA Boxscores (April 1984),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-1984-season.html,boxscore
PBA Boxscores (October-November 1983),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-october-november-1983.html,boxscore
PBA Boxscores (June-July 1983),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-june-july-1983.html,boxscore
PBA Boxscores (June 1983),http://pbarecordsoddities.blogspot.com/2016/03/pba-boxscores-june-1983.html,boxscore
PBA Boxscores (May 1983),http://pbarecordsoddities.blogspot.com/2016/02/pba-boxscores-may-1983.html,boxscore
"PBA Boxscores: May 20-25, 1982",http://pbarecordsoddities.blogspot.com/2016/01/1992-pba-player-stats-alaska-swift.html,boxscore
"PBA Boxscores: April 13-22, 1982",http://pbarecordsoddities.blogspot.com/2016/01/pba-boxscores-april-13-22-1982.html,boxscore
1989 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/10/1989-pba-reinforced-conference.html,boxscore
1989 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/10/1989-pba-all-filipino-conference.html,boxscore
1989 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/10/1989-pba-open-conference.html,boxscore
1988 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-season-records.html,boxscore
1988 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-reinforced-conference.html,boxscore
1988 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-all-filipino-conference.html,boxscore
1988 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/09/1988-pba-open-conference.html,boxscore
1987 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-season-records.html,boxscore
1987 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-reinforced-conference.html,boxscore
1987 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-all-filipino-conference.html,boxscore
1987 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/08/1987-pba-open-conference.html,boxscore
1986 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-season-records.html,boxscore
1986 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-open-conference.html,boxscore
1986 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-all-filipino-conference.html,boxscore
1986 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/07/1986-pba-reinforced-conference.html,boxscore
1985 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-season-records.html,boxscore
1985 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-reinforced-conference.html,boxscore
1985 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-all-filipino-conference.html,boxscore
1985 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/06/1985-pba-open-conference.html,boxscore
1984 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-season-records.html,boxscore
1984 PBA Invitational Conference,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-invitational-conference.html,boxscore
1984 PBA 2nd All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-second-all-filipino-conference.html,boxscore
1984 PBA 1st All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/05/1984-pba-first-all-filipino-conference.html,boxscore
1983 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-season-records.html,boxscore
1983 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-open-conference.html,boxscore
1983 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-reinforced-conference.html,boxscore
1983 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/04/1983-pba-all-filipino-conference.html,boxscore
1982 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-season-records.html,boxscore
1982 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-open-conference.html,boxscore
1982 PBA Invitational Conference,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-invitational-conference.html,boxscore
1982 PBA Reinforced Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/03/1982-pba-reinforced-filipino-conference.html,boxscore
1981 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/02/local-players-single-game-highest-total.html,boxscore
1981 PBA Reinforced Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/02/1981-pba-reinforced-filipino-conference.html,boxscore
1981 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/02/1981-pba-open-conference.html,boxscore
1980 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-season-records.html,boxscore
1980 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-all-filipino-conference.html,boxscore
1980 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2013/01/1980-pba-open-conference.html,boxscore
1999 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-governors-cup.html,boxscore
1999 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-commissioners-cup.html,boxscore
1999 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/10/1999-pba-all-filipino-cup.html,boxscore
1998 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-season-records.html,boxscore
1998 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-governors-cup_13.html,boxscore
1998 PBA Centennial Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-centennial-governors-cup.html,boxscore
1998 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-commissioners-cup_5.html,boxscore
1998 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/09/1998-pba-all-filipino-cup_2.html,boxscore
1997 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-season-records.html,boxscore
1997 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-governors-cup.html,boxscore
1997 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-commissioners-cup.html,boxscore
1997 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/08/1997-pba-all-filipino-cup.html,boxscore
1996 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-finals-results.html,boxscore
1996 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-governors-cup.html,boxscore
1996 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-commissioners-cup.html,boxscore
1996 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/07/1996-pba-all-filipino-cup.html,boxscore
1995 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-finals-results.html,boxscore
1995 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-governors-cup.html,boxscore
1995 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-commissioners-cup.html,boxscore
1995 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/06/1995-pba-all-filipino-cup.html,boxscore
1994 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-all-filipino-1st-cup-best-of.html,boxscore
1994 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-governors-cup.html,boxscore
1994 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-commissioners-cup.html,boxscore
1994 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/05/1994-pba-all-filipino-cup.html,boxscore
1993 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-finals-results.html,boxscore
1993 PBA Governor's Cup,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-governors-cup.html,boxscore
1993 PBA Commissioner's Cup,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-commissioners-cup.html,boxscore
1993 PBA All-Filipino Cup,http://pbarecordsoddities.blogspot.com/2012/04/1993-pba-all-filipino-conference.html,boxscore
1992 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-finals-results.html,boxscore
1992 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-reinforced-conference.html,boxscore
1992 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-all-filipino-conference.html,boxscore
1992 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2012/03/1992-pba-open-conference.html,boxscore
1991 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-finals-results.html,boxscore
1991 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-reinforced-conference.html,boxscore
1991 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-all-filipino-conference.html,boxscore
1991 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2012/02/1991-pba-open-conference.html,boxscore
1990 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/01/1990-pba-finals-results.html,boxscore
1990 PBA Reinforced Conference,http://pbarecordsoddities.blogspot.com/2012/01/1990-pba-reinforced-conference.html,boxscore
1990 PBA All-Filipino Conference,http://pbarecordsoddities.blogspot.com/2012/01/team-standings-group-w-l-group-b-w-l.html,boxscore
1990 PBA Open Conference,http://pbarecordsoddities.blogspot.com/2012/01/1990-pba-open-conference.html,boxscore
1983 Crispa finals results,http://pbarecordsoddities.blogspot.com/2017/07/1983-crispa-finals-results.html,finals
More trivias and records...,http://pbarecordsoddities.blogspot.com/2017/07/more-trivias-and-records.html,misc
3 significant PBA games in July 1984,http://pbarecordsoddities.blogspot.com/2017/05/3-significant-pba-games-in-july-1984.html,misc
PBA team standings (1975-1979),http://pbarecordsoddities.blogspot.com/2018/02/pba-team-standings-1975-1979.html,standings
PBA players stats up to 1983 season (2 of 2),http://pbarecordsoddities.blogspot.com/2017/12/pba-players-stats-up-to-1983-season-2.html,stats
PBA players stats up to 1983 season (1 of 2),http://pbarecordsoddities.blogspot.com/2017/12/pba-players-stats-up-to-1983-season-1.html,stats
PBA players stats up to 1996 season (2 of 2),http://pbarecordsoddities.blogspot.com/2017/12/pba-players-stats-up-to-1996-season-1.html,stats
PBA players stats up to 1996 season (1 of 2),http://pbarecordsoddities.blogspot.com/2017/12/pba-players-stats-up-to-1996-season.html,stats
More PBA stats & the highest scoring averages,http://pbarecordsoddities.blogspot.com/2017/02/more-pba-stats-highest-scoring-averages.html,stats
1992 PBA teams stats (Swift & 7-Up),http://pbarecordsoddities.blogspot.com/2016/11/1992-pba-teams-stats-swift-7-up.html,stats
1992 PBA teams stats (Shell & Alaska),http://pbarecordsoddities.blogspot.com/2016/11/1992-pba-teams-stats-shell-alaska.html,stats
1992 PBA teams stats (Ginebra & Presto),http://pbarecordsoddities.blogspot.com/2016/11/1992-pba-teams-stats-ginebra-presto.html,stats
1992 PBA teams stats (SMB & Purefoods),http://pbarecordsoddities.blogspot.com/2016/11/1992-pba-team-stats-smb-purefoods.html,stats
1990 PBA teams stats (Purefoods & Sarsi),http://pbarecordsoddities.blogspot.com/2016/10/1990-pba-teams-stats-purefoods-sarsi.html,stats
1990 PBA teams stats (Alaska & Anejo),http://pbarecordsoddities.blogspot.com/2016/10/1990-pba-teams-stats-alaska-anejo.html,stats
1990 PBA teams stats (Shell & SMB),http://pbarecordsoddities.blogspot.com/2016/10/1990-pba-teams-stats-shell-smb.html,stats
1990 PBA teams stats (Presto & Pepsi),http://pbarecordsoddities.blogspot.com/2016/10/1990-pba-teams-stats-presto-pepsi.html,stats
PBA Open Conference stats (1987-1989),http://pbarecordsoddities.blogspot.com/2015/11/1988-pba-season-player-stats-mvp-race.html,stats
1986 PBA season (Local / Import stats),http://pbarecordsoddities.blogspot.com/2015/08/pba-first-conference-stats-1986-87.html,stats
1984 PBA scoring leaders,http://pbarecordsoddities.blogspot.com/2015/05/1984-pba-scoring-leaders.html,stats
PBA players' single-game highs (1984-86),http://pbarecordsoddities.blogspot.com/2015/03/pba-players-single-game-highs-1985-1986.html,stats
Scoring/Rebounds leaders (1984 1st AFC),http://pbarecordsoddities.blogspot.com/2015/02/scoring-and-rebounds-leaders-1984-first.html,stats
PBA stats (1985 season),http://pbarecordsoddities.blogspot.com/2015/01/pba-stats-1985-season.html,stats
Scoring and Rebounds averages (1982 & 1983),http://pbarecordsoddities.blogspot.com/2015/01/scoring-and-rebounding-averages-1982.html,stats
PBA Imports' scoring (1989 season),http://pbarecordsoddities.blogspot.com/2014/12/pba-imports-scoring-1989-season.html,stats
PBA Imports' scoring (1988 season),http://pbarecordsoddities.blogspot.com/2014/12/pba-imports-scoring-1988-season.html,stats
PBA Imports' scoring (1987 season),http://pbarecordsoddities.blogspot.com/2014/11/pba-imports-scoring-1987-season.html,stats
PBA Imports' scoring (1986 season),http://pbarecordsoddities.blogspot.com/2014/09/1986-pba-mvp-statistical-points.html,stats
PBA Imports' scoring (1985 season),http://pbarecordsoddities.blogspot.com/2014/05/1985-pba-season-statistics.html,stats
PBA Imports' scoring (1984 season),http://pbarecordsoddities.blogspot.com/2014/03/1984-pba-first-conference-scoring.html,stats
PBA Imports' scoring (1983 season),http://pbarecordsoddities.blogspot.com/2014/03/1992-pba-season-team-summary.html,stats
PBA Imports' scoring (1982 season),http://pbarecordsoddities.blogspot.com/2014/02/1991-pba-season-team-summary-group-b.html,stats
PBA Imports' scoring (1981 season),http://pbarecordsoddities.blogspot.com/2014/02/pba-all-time-annual-statistical-leaders.html,stats
PBA players' career statistics (1975-1981),http://pbarecordsoddities.blogspot.com/2014/01/pba-players-career-statistics-1975-1981.html,stats
1989 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2013/10/1989-pba-season-records.html,stats
PBA Imports' scoring (1992 Season),http://pbarecordsoddities.blogspot.com/2012/12/2004-2005-pba-scoring-records.html,stats
PBA Imports' scoring (1991 Season),http://pbarecordsoddities.blogspot.com/2012/12/2003-pba-season-records.html,stats
PBA Imports' scoring (1990 Season),http://pbarecordsoddities.blogspot.com/2012/12/2002-pba-season-records.html,stats
2001 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/11/2001-pba-season-records.html,stats
2000 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/11/2000-pba-season-records.html,stats
1999 PBA Scoring Records,http://pbarecordsoddities.blogspot.com/2012/11/1999-pba-season-records.html,stats
PBA Imports' scoring (2002-2006 season),http://pbarecordsoddities.blogspot.com/2011/10/pba-imports-scoring-2002-2006-season.html,stats
PBA: Localsâ€™ scoring (2002-2006 season),http://pbarecordsoddities.blogspot.com/2011/09/pba-local-players-scoring-2003-2006.html,stats
